structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_735,1,5,15,-1555.3900555090304,-1553.6913,-1553.6497,0.07932356,0.04169108,0.079323545,0.13492008487463963,0.19390990105031614,1.7404215,1.7421079,2.6611841157677816,2.603176738206752
structure_735,1,9,15,-1555.3900555090304,-1553.6913,-1553.3755,0.13214207,0.31568196,0.13214207,0.4370437406936076,0.1703342453166468,2.0144124,2.0184536,2.6611841157677816,2.603176738206752
structure_735,2,2,15,-1555.3900555090304,-1553.6913,-1553.6704,0.023558147,0.020817058,0.023558073,0.2379585729752121,0.13104314672055775,1.7195475,1.7196982,2.6611841157677816,2.603176738206752
structure_735,2,5,15,-1555.3900555090304,-1553.6913,-1553.6582,0.11774347,0.033121746,0.11774346,0.16255016769892733,0.27749807331395393,1.7318522,1.7355839,2.6611841157677816,2.603176738206752
structure_735,2,9,15,-1555.3900555090304,-1553.6913,-1553.24,0.18448544,0.45122883,0.1844854,0.618830008177902,0.2530093423122969,2.1499593,2.157334,2.6611841157677816,2.603176738206752
structure_735,3,2,15,-1555.3900555090304,-1553.6913,-1553.66,0.021583477,0.031266276,0.021583471,0.2941412605575246,0.1512137677447194,1.7299968,1.7301223,2.6611841157677816,2.603176738206752
structure_735,3,5,15,-1555.3900555090304,-1553.6913,-1553.6132,0.15552285,0.07825521,0.15552285,0.33927071302714645,0.3033169681127772,1.7769856,1.7833263,2.6611841157677816,2.603176738206752
structure_735,3,9,15,-1555.3900555090304,-1553.6913,-1552.9689,0.25443923,0.72233886,0.25443923,0.9906391753544603,0.3489462940257254,2.4210694,2.433516,2.6611841157677816,2.603176738206752
structure_706,1,2,15,-1555.3887215866291,-1552.6913,-1552.6686,0.02050706,0.02294108,0.020507058,0.19936500094394546,0.17821260144737247,2.7203288,2.720401,2.676064017271832,2.5942366036900966
structure_706,1,5,15,-1555.3887215866291,-1552.6913,-1552.6713,0.061213657,0.020174153,0.06121365,0.1342127110786848,0.09833369498661305,2.717562,2.7182052,2.676064017271832,2.5942366036900966
structure_706,1,9,15,-1555.3887215866291,-1552.6913,-1552.657,0.10474326,0.03425293,0.10474324,0.1077793822667951,0.10147892762328926,2.7316406,2.733514,2.676064017271832,2.5942366036900966
structure_706,2,2,15,-1555.3887215866291,-1552.6913,-1552.6442,0.04853471,0.04724121,0.04853471,0.42991835428813213,0.40056217819105955,2.744629,2.7450292,2.676064017271832,2.5942366036900966
